,market_cap,currency,last_updated
SXR8.DE,,Unknown,2025-04-17 01:49:29
ZPRR.DE,,Unknown,2025-04-17 01:49:31
EXS5.DE,,Unknown,2025-04-17 01:49:34
MEUD.PA,,EUR,2025-04-17 01:49:36
XNKY.DE,,EUR,2025-04-17 01:49:36
XGLE.DE,,EUR,2025-04-17 01:49:36
ICOM.UK,,GBP,2025-04-17 01:49:36
CBU0.UK,,GBP,2025-04-17 01:49:36
DTLA.UK,,GBP,2025-04-17 01:49:36
EGLN.L,,GBP,2025-04-17 01:49:36
SIE.DE,120000000000.0,EUR,2025-04-17 01:49:36
SU.PA,85000000000.0,EUR,2025-04-17 01:49:36
KER.PA,45000000000.0,EUR,2025-04-17 01:49:36
FR.PA,3500000000.0,EUR,2025-04-17 01:49:36
OVH.PA,750000000.0,EUR,2025-04-17 01:49:36
ETL.PA,1200000000.0,EUR,2025-04-17 01:49:36
HAG.DE,4500000000.0,EUR,2025-04-17 01:49:36
IDR.MC,2000000000.0,EUR,2025-04-17 01:49:36
RKLB,2000000000.0,USD,2025-04-17 01:49:36
DELL,95000000000.0,USD,2025-04-17 01:49:36
