,price,currency,last_updated
SXR8.DE,420.5,EUR,2025-04-17 01:49:36
ZPRR.DE,210.75,EUR,2025-04-17 01:49:36
EXS5.DE,130.25,EUR,2025-04-17 01:49:36
MEUD.PA,95.6,EUR,2025-04-17 01:49:36
XNKY.DE,180.4,EUR,2025-04-17 01:49:36
XGLE.DE,110.3,EUR,2025-04-17 01:49:36
ICOM.UK,22.15,GBP,2025-04-17 01:49:36
CBU0.UK,18.75,GBP,2025-04-17 01:49:36
DTLA.UK,15.2,GBP,2025-04-17 01:49:36
EGLN.L,150.8,GBP,2025-04-17 01:49:36
SIE.DE,175.3,EUR,2025-04-17 01:49:36
SU.PA,220.45,EUR,2025-04-17 01:49:36
KER.PA,380.6,EUR,2025-04-17 01:49:36
FR.PA,12.75,EUR,2025-04-17 01:49:36
OVH.PA,7.85,EUR,2025-04-17 01:49:36
ETL.PA,4.32,EUR,2025-04-17 01:49:36
HAG.DE,35.4,EUR,2025-04-17 01:49:36
IDR.MC,11.25,EUR,2025-04-17 01:49:36
RKLB,4.2,USD,2025-04-17 01:49:36
DELL,120.5,USD,2025-04-17 01:49:36
